node,seed,centrality,cascade_impact
Yeongju,2048,0.096,0.07547169811320754
Dongsan,2048,0.058,0.18867924528301888
ShingwangyangPort,2048,0.077,0.05660377358490566
Dodam,2048,0.154,0.09433962264150944
Busanjin,2048,0.096,0.24528301886792453
Cheoram,2048,0.096,0.16981132075471697
Hwangdeung,2048,0.058,0.018867924528301886
Sapgyo,2048,0.038,0.2641509433962264
Ssangryong,2048,0.058,0.018867924528301886
Gwangyang,2048,0.058,0.05660377358490566
Suncheon,2048,0.038,0.018867924528301886
DaejeonYard,2048,0.077,0.018867924528301886
Uiwang,2048,0.077,0.09433962264150944
Cheongju,2048,0.038,0.018867924528301886
Onsan,2048,0.077,0.018867924528301886
Heungguksa,2048,0.038,0.03773584905660377
Okgye,2048,0.038,0.018867924528301886
Taegum,2048,0.077,0.18867924528301888
Deokso,2048,0.058,0.18867924528301888
Gunsan,2048,0.038,0.03773584905660377
Gacheon,2048,0.038,0.018867924528301886
Incheon,2048,0.038,0.018867924528301886
Masan,2048,0.019,0.018867924528301886
Yakmok,2048,0.038,0.03773584905660377
Ipseokri,2048,0.115,0.018867924528301886
Naju,2048,0.019,0.018867924528301886
Jeokryang,2048,0.038,0.07547169811320754
Ganchi,2048,0.038,0.018867924528301886
Paldang,2048,0.019,0.018867924528301886
Doan,2048,0.019,0.018867924528301886
Mokpo,2048,0.019,0.018867924528301886
Eumseong,2048,0.019,0.018867924528301886
Munsu,2048,0.019,0.018867924528301886
BugangCargo,2048,0.038,0.018867924528301886
Seokhang,2048,0.019,0.018867924528301886
Shindong,2048,0.019,0.018867924528301886
Gaya,2048,0.019,0.03773584905660377
Jecheon,2048,0.019,0.018867924528301886
Gyeongju,2048,0.019,0.018867924528301886
Heukseokri,2048,0.019,0.018867924528301886
Seokpo,2048,0.019,0.018867924528301886
Sillyewon,2048,0.019,0.018867924528301886
Taehwagang,2048,0.019,0.018867924528301886
Iksan,2048,0.019,0.018867924528301886
Mureung,2048,0.019,0.018867924528301886
Susaek,2048,0.077,0.018867924528301886
Gwangwoondae,2048,0.058,0.018867924528301886
Cheonan,2048,0.038,0.03773584905660377
JecheonYard,4096,0.327,1.0
BusanNewPort,4096,0.173,1.0
Donghae,4096,0.192,0.22641509433962265
Obong,4096,0.231,1.0
Goedong,4096,0.173,0.20754716981132076
Yeongju,4096,0.096,0.018867924528301886
Dongsan,4096,0.058,1.0
ShingwangyangPort,4096,0.077,0.11320754716981132
Dodam,4096,0.154,0.1320754716981132
Busanjin,4096,0.096,0.05660377358490566
Cheoram,4096,0.096,0.05660377358490566
Hwangdeung,4096,0.058,0.1320754716981132
Sapgyo,4096,0.038,0.09433962264150944
Ssangryong,4096,0.058,0.05660377358490566
Gwangyang,4096,0.058,0.018867924528301886
Suncheon,4096,0.038,0.05660377358490566
DaejeonYard,4096,0.077,0.03773584905660377
Uiwang,4096,0.077,0.03773584905660377
Cheongju,4096,0.038,0.07547169811320754
Onsan,4096,0.077,0.03773584905660377
Heungguksa,4096,0.038,0.1320754716981132
Okgye,4096,0.038,0.018867924528301886
Taegum,4096,0.077,0.09433962264150944
Deokso,4096,0.058,0.03773584905660377
Gunsan,4096,0.038,0.1320754716981132
Gacheon,4096,0.038,0.03773584905660377
Incheon,4096,0.038,0.018867924528301886
Masan,4096,0.019,0.018867924528301886
Yakmok,4096,0.038,0.018867924528301886
Ipseokri,4096,0.115,0.018867924528301886
Naju,4096,0.019,0.018867924528301886
Jeokryang,4096,0.038,0.018867924528301886
Ganchi,4096,0.038,0.018867924528301886
Paldang,4096,0.019,0.018867924528301886
Doan,4096,0.019,0.03773584905660377
Mokpo,4096,0.019,0.018867924528301886
Eumseong,4096,0.019,0.018867924528301886
Munsu,4096,0.019,0.1320754716981132
BugangCargo,4096,0.038,0.018867924528301886
Seokhang,4096,0.019,0.018867924528301886
Shindong,4096,0.019,0.018867924528301886
Gaya,4096,0.019,0.018867924528301886
Jecheon,4096,0.019,0.03773584905660377
Gyeongju,4096,0.019,0.018867924528301886
Heukseokri,4096,0.019,0.018867924528301886
Seokpo,4096,0.019,0.018867924528301886
Sillyewon,4096,0.019,0.018867924528301886
Taehwagang,4096,0.019,0.03773584905660377
Iksan,4096,0.019,0.03773584905660377
Mureung,4096,0.019,0.018867924528301886
Susaek,4096,0.077,0.018867924528301886
Gwangwoondae,4096,0.058,0.03773584905660377
Cheonan,4096,0.038,0.018867924528301886
JecheonYard,8192,0.327,1.0
BusanNewPort,8192,0.173,1.0
Donghae,8192,0.192,0.22641509433962265
Obong,8192,0.231,0.1509433962264151
Goedong,8192,0.173,1.0
Yeongju,8192,0.096,0.09433962264150944
Dongsan,8192,0.058,0.16981132075471697
ShingwangyangPort,8192,0.077,0.05660377358490566
Dodam,8192,0.154,0.11320754716981132
Busanjin,8192,0.096,0.05660377358490566
Cheoram,8192,0.096,0.018867924528301886
Hwangdeung,8192,0.058,0.07547169811320754
Sapgyo,8192,0.038,0.07547169811320754
Ssangryong,8192,0.058,0.03773584905660377
Gwangyang,8192,0.058,0.05660377358490566
Suncheon,8192,0.038,0.018867924528301886
DaejeonYard,8192,0.077,0.018867924528301886
Uiwang,8192,0.077,0.05660377358490566
Cheongju,8192,0.038,0.03773584905660377
Onsan,8192,0.077,0.05660377358490566
Heungguksa,8192,0.038,0.03773584905660377
